[Objective_value_file]
report.type: objective_function
obs->lf_hand_240: 693.215
obs->lf_hand_241: 881.984
obs->lf_hand_242: 748.455
obs->lf_hand_243: 966.093
obs->lf_hand_244: 579.491
obs->lf_hand_245: 419.309
obs->lf_hand_246: 381.021
obs->lf_hand_247: 1067.18
obs->lf_hand_248: 841.694
obs->lf_hand_249: 996.594
obs->lf_hand_250: 427.892
obs->lf_hand_251: 415.43
obs->lf_hand_252: 264.949
obs->lf_hand_253: 76.1854
obs->lf_hand_254: nan
obs->lf_hand_255: 334.884
obs->lf_hand_256: 272.364
obs->lf_other_138: nan
obs->lf_other_139: nan
obs->lf_other_140: nan
obs->lf_other_141: 432.418
obs->lf_other_142: 223.013
obs->lf_other_143: 128.189
obs->lf_other_144: 331.126
obs->lf_other_145: 122.861
obs->lf_other_146: 78.9933
obs->lf_other_148: nan
obs->lf_other_149: 181.881
obs->lf_other_150: nan
obs->lf_other_151: nan
obs->lf_other_152: nan
obs->lf_other_153: 574.96
obs->lf_other_154: 201.781
obs->lf_other_155: 201.32
obs->lf_other_156: 879.148
obs->lf_other_157: 450.98
obs->lf_other_158: 308.471
obs->lf_other_159: 416.111
obs->lf_other_160: 1552.37
obs->lf_other_161: 306.527
obs->lf_other_162: 444.836
obs->lf_other_163: 300.383
obs->lf_other_164: 1378.51
obs->lf_other_165: 813.116
obs->lf_other_166: 384.084
obs->lf_other_167: 835.18
obs->lf_other_168: 1829.08
obs->lf_other_169: 280.368
obs->lf_other_171: 586.968
obs->lf_other_172: 1555.67
obs->lf_other_177: 21.9273
obs->lf_other_178: 153.319
obs->lf_other_179: nan
obs->lf_other_180: 280.954
obs->lf_other_181: 296.811
obs->lf_other_182: 492.299
obs->lf_other_183: 826.975
obs->lf_other_184: 1220.35
obs->lf_other_185: 1549.2
obs->lf_other_186: 623.288
obs->lf_other_187: 1290.07
obs->lf_other_188: 904.358
obs->lf_other_189: 519.362
obs->lf_other_190: 354.943
obs->lf_other_191: 428.486
obs->lf_other_192: 683.593
obs->lf_other_193: 52.4867
obs->lf_other_194: 26.9913
obs->lf_other_195: 38.7974
obs->lf_other_196: 87.3316
obs->lf_other_197: 69.4211
obs->lf_other_198: 309.368
obs->lf_other_199: 86.0655
obs->lf_other_201: 267.171
obs->lf_other_202: 255.494
obs->lf_other_203: 17.9676
obs->lf_other_204: 98.8425
obs->lf_other_205: 25.4773
obs->lf_other_207: 32.9568
obs->lf_other_208: 247.073
obs->lf_other_210: 11.5826
obs->lf_other_218: 45.8029
obs->lf_other_221: 112.457
obs->lf_other_224: 321.204
obs->lf_other_225: 34.6718
